step,label,label_name,num_cases,mean_roi_mae,mean_roi_psnr,mean_roi_ssim
2000,1,healthy_control,1,18.963003158569336,20.256864838479814,0.3489680886268616
2000,2,emphysema,1,13.997955322265625,23.098747265007255,0.5606864094734192
2000,3,ground_glass,1,10.464567184448242,25.729440370853787,0.3504396677017212
2000,4,fibrosis,1,25.452774047851562,17.779904390484248,0.4898466467857361
2000,5,micronodules,1,16.028398513793945,21.380274353078015,0.46898871660232544
2000,6,consolidation,1,14.785714149475098,20.58022603097143,0.9460474252700806
4000,1,healthy_control,1,18.54680061340332,20.294067316587725,0.34743377566337585
4000,2,emphysema,1,10.907975196838379,24.017292520929963,0.6035846471786499
4000,3,ground_glass,1,8.527559280395508,26.977975046473457,0.3723504841327667
4000,4,fibrosis,1,24.86056900024414,17.90515371806421,0.5057980418205261
4000,5,micronodules,1,17.253549575805664,20.958117146136107,0.460580050945282
4000,6,consolidation,1,16.428571701049805,19.960819381505722,0.9497188925743103
6000,1,healthy_control,1,18.15464210510254,20.416682847358313,0.34699952602386475
6000,2,emphysema,1,10.006134986877441,24.205848073085466,0.6226567029953003
6000,3,ground_glass,1,8.259842872619629,27.00586208886059,0.36366644501686096
6000,4,fibrosis,1,24.17841148376465,18.130432523291496,0.5104097723960876
6000,5,micronodules,1,16.669370651245117,21.174743693607997,0.46105629205703735
6000,6,consolidation,1,17.35714340209961,20.004056756597425,0.945168673992157
8000,1,healthy_control,1,17.46651840209961,20.66778009107828,0.35917675495147705
8000,2,emphysema,1,9.91411018371582,24.230487587848067,0.6300733685493469
8000,3,ground_glass,1,8.023622512817383,27.133344732536116,0.36948880553245544
8000,4,fibrosis,1,24.173913955688477,18.166999888305217,0.5148337483406067
8000,5,micronodules,1,16.176469802856445,21.342591992118408,0.46266430616378784
8000,6,consolidation,1,16.35714340209961,20.477844311698536,0.9410882592201233
10000,1,healthy_control,1,17.274139404296875,20.738268478766308,0.35707053542137146
10000,2,emphysema,1,9.750511169433594,24.139129215176748,0.6297845840454102
10000,3,ground_glass,1,8.149606704711914,27.031804374618137,0.362506240606308
10000,4,fibrosis,1,23.604198455810547,18.364836296236856,0.5165220499038696
10000,5,micronodules,1,15.527383804321289,21.561855955876656,0.4647013545036316
10000,6,consolidation,1,16.0,20.554674625414926,0.940890371799469
12000,1,healthy_control,1,17.152793884277344,20.817757930581784,0.36073774099349976
12000,2,emphysema,1,9.895705223083496,24.054201361894542,0.6275068521499634
12000,3,ground_glass,1,7.874015808105469,27.134160395015677,0.36776164174079895
12000,4,fibrosis,1,23.382308959960938,18.456460549916255,0.5246198773384094
12000,5,micronodules,1,15.531439781188965,21.570055069117974,0.4633156359195709
12000,6,consolidation,1,16.214284896850586,20.39555095099292,0.9385949969291687
14000,1,healthy_control,1,17.23825454711914,20.787417969491543,0.3610607385635376
14000,2,emphysema,1,10.002044677734375,24.048022413147933,0.6192705035209656
14000,3,ground_glass,1,8.062992095947266,27.022521509844797,0.3591633141040802
14000,4,fibrosis,1,23.157421112060547,18.519019844185753,0.5262601375579834
14000,5,micronodules,1,15.784990310668945,21.4395403928156,0.45916181802749634
14000,6,consolidation,1,15.428571701049805,20.54276588946786,0.9414098858833313
16000,1,healthy_control,1,17.733999252319336,20.630596809188418,0.3652442693710327
16000,2,emphysema,1,10.173824310302734,24.024359413064364,0.608130931854248
16000,3,ground_glass,1,8.04724407196045,27.148864612002505,0.36468005180358887
16000,4,fibrosis,1,22.83208465576172,18.623207816660383,0.5295537114143372
16000,5,micronodules,1,16.012170791625977,21.32603258833563,0.4568444788455963
16000,6,consolidation,1,15.357142448425293,20.663905858074063,0.9404285550117493
18000,1,healthy_control,1,17.334444046020508,20.77144599175755,0.3684205412864685
18000,2,emphysema,1,10.476482391357422,24.15065767251167,0.5957819223403931
18000,3,ground_glass,1,8.04724407196045,27.217596645455785,0.35874542593955994
18000,4,fibrosis,1,22.85757064819336,18.613162674183968,0.5289410352706909
18000,5,micronodules,1,16.135902404785156,21.210311111804792,0.45055633783340454
18000,6,consolidation,1,14.642857551574707,20.92980134738834,0.9422930479049683
20000,1,healthy_control,1,17.454679489135742,20.66805107930638,0.3642668128013611
20000,2,emphysema,1,10.705521583557129,24.029606440258608,0.5885254740715027
20000,3,ground_glass,1,8.007874488830566,27.138239952303756,0.360438734292984
20000,4,fibrosis,1,22.71214485168457,18.68616183929947,0.5292127132415771
20000,5,micronodules,1,16.257606506347656,21.129789654571283,0.44834402203559875
20000,6,consolidation,1,14.714285850524902,20.981521446690184,0.9436310529708862
22000,1,healthy_control,1,17.531631469726562,20.63561392943391,0.36563771963119507
22000,2,emphysema,1,11.116564750671387,24.17777195581365,0.5732461810112
22000,3,ground_glass,1,8.204724311828613,27.067796810824145,0.35521095991134644
22000,4,fibrosis,1,22.854572296142578,18.643785981292,0.5301364660263062
22000,5,micronodules,1,16.460445404052734,20.956310108811568,0.4406580328941345
22000,6,consolidation,1,14.571428298950195,21.081947859869608,0.9455189108848572
24000,1,healthy_control,1,17.891231536865234,20.51400009064887,0.3650525212287903
24000,2,emphysema,1,11.028630256652832,24.07725969377584,0.5684190988540649
24000,3,ground_glass,1,8.21259880065918,26.981123374760063,0.35125860571861267
24000,4,fibrosis,1,22.725637435913086,18.691203763202864,0.5358669757843018
24000,5,micronodules,1,16.683570861816406,20.868261132909105,0.43846040964126587
24000,6,consolidation,1,14.642857551574707,20.992899333036537,0.9450635313987732
26000,1,healthy_control,1,17.89419174194336,20.548856329517818,0.35911673307418823
26000,2,emphysema,1,11.237218856811523,24.193777809182784,0.5676029920578003
26000,3,ground_glass,1,8.21259880065918,26.90670972908743,0.3524233400821686
26000,4,fibrosis,1,22.55622100830078,18.759137245467457,0.5390647053718567
26000,5,micronodules,1,16.975658416748047,20.687112059853284,0.43408679962158203
26000,6,consolidation,1,14.357142448425293,21.139242626279064,0.946489155292511
28000,1,healthy_control,1,17.86015510559082,20.55184643214335,0.3569487929344177
28000,2,emphysema,1,11.402862548828125,24.19934170753317,0.5639140009880066
28000,3,ground_glass,1,8.338582992553711,26.874838486776696,0.34846991300582886
28000,4,fibrosis,1,22.91754150390625,18.637181430300572,0.5354906916618347
28000,5,micronodules,1,17.492900848388672,20.426496141070444,0.4276740849018097
28000,6,consolidation,1,14.571428298950195,20.94934714234515,0.9451802372932434
30000,1,healthy_control,1,17.82796859741211,20.548237003600708,0.35523703694343567
30000,2,emphysema,1,11.568507194519043,24.122758263730844,0.5461297631263733
30000,3,ground_glass,1,8.307086944580078,26.869208116492217,0.34917476773262024
30000,4,fibrosis,1,23.107946395874023,18.595916345556745,0.5363097190856934
30000,5,micronodules,1,17.34685516357422,20.459290259600618,0.4243926703929901
30000,6,consolidation,1,14.714285850524902,20.950534260474143,0.9462043046951294
32000,1,healthy_control,1,17.82056999206543,20.51185038590524,0.34876710176467896
32000,2,emphysema,1,11.472393035888672,24.118842736714935,0.5495662689208984
32000,3,ground_glass,1,8.803149223327637,26.543855510856407,0.3328612148761749
32000,4,fibrosis,1,22.965517044067383,18.658553961968725,0.5371743440628052
32000,5,micronodules,1,17.821500778198242,20.421119127269357,0.42316582798957825
32000,6,consolidation,1,14.714285850524902,20.834528314027008,0.9461718201637268
34000,1,healthy_control,1,18.315204620361328,20.292048156412385,0.33669576048851013
34000,2,emphysema,1,11.339468002319336,24.085859440882764,0.5531758069992065
34000,3,ground_glass,1,8.874015808105469,26.473477826552056,0.3211318552494049
34000,4,fibrosis,1,22.85906982421875,18.68545159381209,0.5372297167778015
34000,5,micronodules,1,17.914806365966797,20.295942530909752,0.41764116287231445
34000,6,consolidation,1,14.357142448425293,21.099733127331184,0.946467936038971
36000,1,healthy_control,1,18.061782836914062,20.448146945949993,0.3451792895793915
36000,2,emphysema,1,11.194273948669434,24.02743112983151,0.5531622171401978
36000,3,ground_glass,1,9.43307113647461,26.10673593628205,0.3082176446914673
36000,4,fibrosis,1,23.065967559814453,18.63898917921993,0.5328701138496399
36000,5,micronodules,1,17.890466690063477,20.44251693217463,0.4189230799674988
36000,6,consolidation,1,14.5,21.064235390265402,0.9445119500160217
38000,1,healthy_control,1,18.299667358398438,20.33952269762491,0.3483276963233948
38000,2,emphysema,1,11.092024803161621,24.218854044061402,0.5619349479675293
38000,3,ground_glass,1,9.102362632751465,26.27607367210096,0.3093926012516022
38000,4,fibrosis,1,23.034482955932617,18.64317061873277,0.532881498336792
38000,5,micronodules,1,17.377281188964844,20.658766300558543,0.42940619587898254
38000,6,consolidation,1,14.5,21.12438454325522,0.9435414671897888
40000,1,healthy_control,1,18.362930297851562,20.34319254051113,0.34897372126579285
40000,2,emphysema,1,10.848670959472656,24.302827717360742,0.5690848231315613
40000,3,ground_glass,1,9.196850776672363,26.347153100941263,0.3123745918273926
40000,4,fibrosis,1,22.931034088134766,18.689048595012228,0.5329431295394897
40000,5,micronodules,1,18.168357849121094,20.28003330666159,0.41924363374710083
40000,6,consolidation,1,14.0,21.45227333113743,0.9461559057235718
42000,1,healthy_control,1,18.461339950561523,20.33259452741245,0.34836065769195557
42000,2,emphysema,1,10.723926544189453,24.29301690332645,0.5712449550628662
42000,3,ground_glass,1,9.496063232421875,26.06105839282938,0.3043711185455322
42000,4,fibrosis,1,22.87856101989746,18.703964300798543,0.5315794944763184
42000,5,micronodules,1,17.892494201660156,20.412157413615823,0.4178096055984497
42000,6,consolidation,1,13.857142448425293,21.547963457257335,0.9483910799026489
44000,1,healthy_control,1,18.6270809173584,20.299488365963356,0.35006484389305115
44000,2,emphysema,1,10.879345893859863,24.17762901414158,0.5656867027282715
44000,3,ground_glass,1,9.322834968566895,26.324082446523906,0.3088572025299072
44000,4,fibrosis,1,22.90254783630371,18.707100521009327,0.5301215648651123
44000,5,micronodules,1,17.73225212097168,20.52113761745451,0.4205348491668701
44000,6,consolidation,1,13.571428298950195,21.61940851487803,0.9476036429405212
46000,1,healthy_control,1,18.92119789123535,20.17620336264164,0.3489000201225281
46000,2,emphysema,1,11.194273948669434,24.136650033205992,0.5619050860404968
46000,3,ground_glass,1,9.472440719604492,26.167888062371638,0.29717832803726196
46000,4,fibrosis,1,23.106447219848633,18.648463557696452,0.5292614698410034
46000,5,micronodules,1,17.618661880493164,20.613048590822622,0.4231439232826233
46000,6,consolidation,1,14.0,21.281068359555636,0.9459367394447327
48000,1,healthy_control,1,18.630041122436523,20.252232374171584,0.3502272665500641
48000,2,emphysema,1,11.116564750671387,24.114190861445902,0.5591932535171509
48000,3,ground_glass,1,9.669291496276855,25.99531234060805,0.28033435344696045
48000,4,fibrosis,1,23.371814727783203,18.54699879921443,0.5279273986816406
48000,5,micronodules,1,17.279918670654297,20.841967080411546,0.42873990535736084
48000,6,consolidation,1,13.857142448425293,21.221252418656817,0.9445210099220276
50000,1,healthy_control,1,18.952274322509766,20.087228084101426,0.3495393693447113
50000,2,emphysema,1,11.004090309143066,24.21881796855644,0.5680100321769714
50000,3,ground_glass,1,10.141732215881348,25.708442142014164,0.28277698159217834
50000,4,fibrosis,1,23.43028450012207,18.54759368125881,0.5253314971923828
50000,5,micronodules,1,17.61257553100586,20.6339578936528,0.42627307772636414
50000,6,consolidation,1,14.071428298950195,21.120677753637626,0.9456874132156372
52000,1,healthy_control,1,18.812061309814453,20.11161175574026,0.3443319797515869
52000,2,emphysema,1,10.846625328063965,24.340474993960143,0.5738130807876587
52000,3,ground_glass,1,9.708661079406738,25.830943542469832,0.283840537071228
52000,4,fibrosis,1,23.30884552001953,18.589442173564336,0.5266801118850708
52000,5,micronodules,1,17.3651123046875,20.64733461538013,0.420891135931015
52000,6,consolidation,1,13.642857551574707,21.351476751528015,0.9467601180076599
54000,1,healthy_control,1,19.150203704833984,19.998741776686472,0.3426598608493805
54000,2,emphysema,1,10.42331314086914,24.4146862326784,0.5864099264144897
54000,3,ground_glass,1,9.370079040527344,26.33175905534852,0.2994672656059265
54000,4,fibrosis,1,23.091453552246094,18.65288161479049,0.5269437432289124
54000,5,micronodules,1,18.53144073486328,20.221945383713166,0.4162583351135254
54000,6,consolidation,1,14.142857551574707,20.961235494270788,0.9468327164649963
56000,1,healthy_control,1,18.768035888671875,20.177418101545733,0.34351009130477905
56000,2,emphysema,1,10.316973686218262,24.444759877298807,0.5899572968482971
56000,3,ground_glass,1,9.078740119934082,26.437670002637113,0.29254618287086487
56000,4,fibrosis,1,23.227886199951172,18.602530786125527,0.5255096554756165
56000,5,micronodules,1,18.647058486938477,20.272641082038817,0.4194079637527466
56000,6,consolidation,1,14.571428298950195,20.876354467490703,0.948163628578186
58000,1,healthy_control,1,19.3011474609375,20.06270468833541,0.35136646032333374
58000,2,emphysema,1,10.404908180236816,24.43325885541125,0.5909621715545654
58000,3,ground_glass,1,8.850393295288086,26.77534519521553,0.31050148606300354
58000,4,fibrosis,1,23.329835891723633,18.58121480872905,0.5249345302581787
58000,5,micronodules,1,18.65517234802246,20.2448036090434,0.41292840242385864
